name,budget,release_date
Distributed radical firmware,898782.94,2022-05-16
Sharable intermediate encryption,480003.35,2022-08-24
Synergized maximized workforce,638850.7,2022-07-24
Upgradable 24 hour groupware,402986.48,2022-10-20
Inverse web-enabled emulation,443220.65,2022-09-21
Open-architected executive structure,312932.0,2022-04-06
Operative grid-enabled access,609044.14,2021-12-10
Upgradable national Graphic Interface,297444.51,2022-11-30
Configurable zero defect analyzer,663079.51,2022-12-06
Re-contextualized exuding alliance,825538.96,2022-11-29
Focused static support,533769.98,2022-04-16
Integrated holistic strategy,958161.14,2022-03-12
Implemented empowering encryption,660857.88,2022-03-31
Organic maximized framework,846933.94,2023-01-07
Streamlined holistic matrix,851357.24,2022-02-14
Innovative 5th generation knowledge user,559442.24,2022-05-28
Realigned upward-trending pricing structure,32596.78,2022-04-14
Future-proofed hybrid internet solution,1467.65,2022-12-28
Organized empowering extranet,932348.13,2022-04-12
Seamless contextually-based open system,376007.61,2022-05-05
Multi-tiered exuding flexibility,999211.0,2022-09-18
Decentralized client-driven application,392031.95,2022-02-12
Extended executive middleware,256553.32,2022-09-27
Face to face well-modulated complexity,920076.0,2022-01-23
Centralized modular moratorium,648675.57,2022-11-01
Object-based tangible paradigm,833366.14,2022-09-25
Re-engineered coherent moratorium,434621.82,2022-02-02
Multi-tiered secondary synergy,409847.4,2022-05-19
Up-sized systematic definition,605814.56,2022-09-03
De-engineered reciprocal focus group,192935.22,2023-01-06
Adaptive methodical encryption,102263.72,2022-03-26
Front-line reciprocal firmware,753297.62,2022-01-30
Devolved object-oriented methodology,607662.55,2022-07-14
Customer-focused bi-directional approach,426435.0,2021-12-24
Future-proofed solution-oriented adapter,416674.49,2023-01-06
Robust contextually-based strategy,385582.44,2022-10-25
Networked object-oriented analyzer,237026.89,2022-12-10
De-engineered exuding flexibility,870627.9,2022-02-25
Ergonomic even-keeled ability,672494.35,2022-08-19
Stand-alone executive groupware,943612.13,2022-04-22
Persevering solution-oriented encoding,547312.95,2022-02-28
Exclusive next generation adapter,548145.64,2022-08-04
Advanced attitude-oriented extranet,839862.56,2021-12-12
Digitized multimedia matrices,981750.05,2022-01-22
Team-oriented neutral orchestration,981765.21,2022-10-24
Inverse bottom-line extranet,50255.71,2022-12-03
Function-based intermediate knowledge user,604595.0,2023-01-17
Fundamental foreground architecture,149640.86,2023-01-15
Multi-tiered dynamic hardware,342975.85,2022-08-04
Organic methodical projection,92469.44,2022-12-03
Optional coherent portal,43246.62,2021-12-15
Streamlined reciprocal hierarchy,333999.54,2022-09-13
Secured high-level hardware,797634.9,2022-11-13
Virtual user-facing interface,814598.92,2022-02-24
Synchronised contextually-based Graphical User Interface,989020.65,2022-05-23
Self-enabling homogeneous hub,593503.28,2022-11-17
Front-line tertiary website,884924.55,2021-12-07
Re-engineered client-driven model,578173.47,2022-04-08
Innovative eco-centric policy,894877.36,2022-06-08
Re-contextualized multimedia matrices,248770.19,2022-10-06
Stand-alone web-enabled encryption,102528.95,2022-12-20
Open-architected transitional encoding,449560.8,2022-09-30
Progressive tangible installation,106963.41,2022-02-04
Reverse-engineered actuating portal,411070.81,2022-04-28
Multi-layered bifurcated parallelism,645528.19,2022-10-10
Optional methodical info-mediaries,797327.03,2022-12-21
Quality-focused bifurcated forecast,108027.7,2022-01-29
Expanded global complexity,857267.8,2022-09-28
Triple-buffered homogeneous encoding,439933.24,2021-12-23
Persistent web-enabled hardware,537589.51,2022-03-04
Diverse dynamic ability,672766.0,2022-12-12
User-friendly clear-thinking solution,134156.92,2022-06-27
Extended stable challenge,773724.05,2022-01-26
Team-oriented systemic database,600395.99,2022-08-23
Centralized static focus group,731042.22,2022-04-06
Fully-configurable explicit access,284225.0,2022-04-25
Balanced interactive attitude,453886.43,2022-06-28
Programmable global software,74466.99,2022-02-16
Focused scalable protocol,746271.48,2022-02-14
Optional logistical functionalities,946974.77,2022-01-02
Cross-platform systemic leverage,186883.8,2022-02-27
Secured responsive leverage,596918.07,2022-09-07
De-engineered modular emulation,372846.51,2022-05-08
Monitored high-level toolset,981829.0,2022-10-08
Multi-layered zero defect software,648824.58,2022-08-07
Optional radical intranet,820605.69,2022-07-31
Devolved analyzing challenge,586861.26,2021-12-30
Progressive needs-based paradigm,607707.0,2022-10-05
Versatile 5th generation standardization,336821.08,2021-12-02
Cloned scalable Graphic Interface,744994.09,2022-04-01
Assimilated exuding contingency,245145.68,2022-01-31
Enhanced didactic open architecture,963576.26,2022-04-05
Cloned uniform array,832165.6,2022-03-17
Customizable client-driven standardization,84424.32,2022-12-19
Front-line hybrid encoding,323591.33,2022-06-21
Fully-configurable secondary time-frame,673407.81,2023-01-04
Customizable impactful benchmark,955254.3,2022-08-15
Function-based intangible archive,875725.78,2022-11-05
Ameliorated well-modulated architecture,569430.73,2022-03-24
Operative grid-enabled benchmark,73728.92,2022-09-09
Monitored actuating algorithm,158910.51,2022-02-23
Compatible object-oriented algorithm,443272.3,2022-01-05
Mandatory object-oriented capability,872440.2,2022-07-19
Synergistic 3rd generation frame,429818.58,2022-01-04
Persistent mission-critical methodology,115004.02,2022-08-31
Virtual full-range open architecture,790722.35,2022-04-17
Stand-alone multi-tasking throughput,520369.52,2022-02-25
Future-proofed bi-directional utilisation,408605.77,2021-12-26
Up-sized multi-tasking protocol,872303.87,2021-12-14
Open-architected homogeneous knowledge base,676091.92,2022-05-14
Re-engineered real-time focus group,133583.39,2022-02-04
Ergonomic homogeneous strategy,264505.68,2022-12-01
Realigned multi-tasking circuit,432147.29,2022-10-11
Exclusive explicit knowledge user,340327.37,2022-05-30
Customer-focused non-volatile infrastructure,593059.63,2023-01-26
Virtual maximized matrices,480835.42,2022-01-10
Horizontal bifurcated functionalities,821298.19,2022-10-04
Object-based modular algorithm,710287.92,2022-01-21
Polarised discrete website,658048.73,2021-12-29
Reverse-engineered local middleware,871618.22,2021-12-16
Upgradable multi-tasking protocol,884421.8,2022-02-21
Decentralized upward-trending system engine,614263.14,2022-07-09
Triple-buffered radical moderator,862124.36,2022-08-07
Multi-tiered national function,824977.61,2022-06-09
Enterprise-wide high-level info-mediaries,365360.7,2022-11-05
Polarised foreground success,695516.13,2023-01-16
Synchronised value-added policy,857543.5,2022-04-19
Monitored directional algorithm,224010.82,2021-12-09
Ergonomic web-enabled forecast,355744.6,2023-01-09
Re-engineered empowering standardization,58382.65,2022-11-07
Synchronised scalable capability,371923.36,2022-09-23
Compatible system-worthy firmware,208014.44,2022-01-02
Assimilated uniform implementation,525902.26,2022-02-15
Team-oriented fault-tolerant internet solution,923312.15,2022-10-06
Inverse dedicated info-mediaries,931791.11,2022-10-14
Vision-oriented mission-critical Graphic Interface,114843.66,2022-02-20
Exclusive dynamic info-mediaries,329856.95,2022-06-07
Switchable non-volatile pricing structure,504195.15,2022-12-27
Profound systemic parallelism,593771.83,2022-09-07
Implemented system-worthy internet solution,98151.01,2022-01-20
Persistent multi-state conglomeration,186987.26,2022-07-31
Proactive 3rd generation hardware,236981.24,2022-04-27
Switchable cohesive migration,575017.0,2022-06-01
Digitized 5th generation functionalities,966615.8,2022-08-27
Re-engineered context-sensitive conglomeration,24567.41,2023-01-19
Right-sized holistic moratorium,218355.86,2022-08-12
Self-enabling executive collaboration,339798.51,2021-12-16
Open-architected even-keeled open system,695314.0,2022-09-08
Streamlined high-level intranet,405572.4,2022-04-28
Secured systematic process improvement,885356.71,2021-12-01
Object-based mobile attitude,712885.32,2022-01-06
Exclusive dynamic hierarchy,7633.71,2022-06-28
Synchronised client-driven encoding,682450.89,2022-11-20
Realigned interactive process improvement,760956.7,2022-04-10
Triple-buffered eco-centric capability,545088.58,2021-12-17
Future-proofed demand-driven database,789929.14,2022-05-22
Decentralized uniform knowledge base,20587.44,2021-12-07
Networked intermediate Graphic Interface,956030.92,2022-08-12
Customer-focused dynamic neural-net,998171.42,2021-12-15
Organic intangible encryption,897628.7,2023-01-14
Universal disintermediate middleware,359114.05,2022-08-21
Visionary client-driven system engine,416691.18,2022-11-12
Virtual discrete interface,407176.17,2023-01-12
Multi-channelled asymmetric model,384307.59,2021-12-16
Organic scalable benchmark,950928.11,2022-04-26
Open-source web-enabled protocol,707992.84,2022-12-03
Synchronised static task-force,157804.55,2022-11-16
Managed asymmetric success,997627.15,2022-05-18
Persevering modular productivity,190014.29,2022-11-29
Proactive reciprocal alliance,793959.6,2022-05-30
Intuitive bandwidth-monitored infrastructure,213434.25,2022-09-05
Front-line neutral array,224261.87,2022-02-07
Switchable heuristic hardware,778785.95,2022-05-30
Decentralized fault-tolerant conglomeration,709705.78,2022-01-08
Centralized object-oriented customer loyalty,305403.93,2022-01-01
Persevering contextually-based paradigm,204502.52,2022-02-20
Streamlined context-sensitive flexibility,360499.42,2022-07-02
Innovative asymmetric hub,216957.49,2022-04-29
Sharable impactful matrices,918556.03,2022-01-15
Innovative uniform functionalities,328905.51,2022-08-08
Diverse directional circuit,886403.31,2022-09-07
Grass-roots encompassing adapter,57188.04,2022-10-26
Multi-channelled non-volatile encryption,976415.06,2022-11-20
Customizable zero tolerance functionalities,963430.03,2022-12-16
Total needs-based matrices,550111.79,2022-08-25
Multi-channelled responsive methodology,870013.61,2022-03-03
Decentralized systematic product,87925.82,2022-04-02
Pre-emptive fresh-thinking encoding,616657.11,2022-02-17
Switchable next generation migration,957498.98,2022-09-07
Innovative bi-directional alliance,60149.8,2022-04-22
Innovative actuating open architecture,458424.04,2023-01-08
Horizontal stable database,576006.06,2022-09-03
Pre-emptive coherent analyzer,794182.07,2022-08-01
Versatile demand-driven access,409483.17,2023-01-07
Proactive exuding algorithm,361393.1,2022-05-17
Upgradable impactful ability,647885.23,2022-05-04
Automated modular knowledge user,584865.1,2022-01-04
Enterprise-wide systematic paradigm,712801.11,2023-01-15
Triple-buffered high-level hub,47200.3,2021-12-29
Synergistic client-driven instruction set,850224.47,2022-12-06
Monitored encompassing extranet,917205.42,2022-06-20
Robust clear-thinking info-mediaries,823994.43,2023-01-12
Business-focused composite service-desk,405265.06,2022-11-19
Optimized explicit strategy,237181.32,2022-06-09
Profit-focused methodical knowledge user,766509.68,2022-01-07
Switchable fault-tolerant standardization,359908.35,2022-08-21
Right-sized multi-tasking capacity,780322.73,2022-08-29
Centralized fault-tolerant success,867677.57,2022-04-26
Up-sized executive focus group,884420.9,2022-09-30
Configurable mobile adapter,670457.66,2022-07-04
Mandatory responsive superstructure,459690.66,2022-04-27
Robust fresh-thinking info-mediaries,55618.95,2022-11-24
Reverse-engineered local alliance,94953.79,2021-12-30
Compatible directional access,746214.51,2022-04-24
Future-proofed dedicated access,815983.99,2022-01-14
Networked bi-directional function,141204.94,2022-01-11
Programmable coherent portal,504470.28,2022-09-20
Digitized web-enabled orchestration,542871.08,2022-08-20
Triple-buffered system-worthy pricing structure,32552.91,2022-05-21
Extended foreground utilisation,416274.6,2022-09-15
Managed motivating service-desk,606688.17,2022-04-26
Intuitive grid-enabled info-mediaries,995230.74,2022-08-03
Exclusive optimizing frame,998909.25,2022-01-03
Polarised national function,377008.2,2022-09-18
Virtual non-volatile matrix,222667.6,2022-08-10
Face to face clear-thinking project,958483.42,2022-06-16
User-centric system-worthy open architecture,578177.01,2022-09-07
Programmable maximized support,159085.7,2022-09-06
Reverse-engineered multi-state conglomeration,311197.38,2021-12-10
Operative eco-centric middleware,396589.4,2021-12-22
Customer-focused real-time projection,121894.16,2022-02-17
Right-sized high-level collaboration,974378.81,2022-03-13
Digitized heuristic standardization,554508.22,2022-08-04
Re-engineered radical collaboration,139605.25,2022-04-27
Cross-platform stable neural-net,628834.02,2022-08-07
Polarised foreground open system,277596.75,2022-04-30
Profit-focused mission-critical standardization,208816.98,2022-04-24
Public-key optimal knowledge user,468113.18,2022-02-14
Enhanced content-based project,96456.31,2022-03-16
Configurable tertiary knowledge user,973236.68,2022-07-09
Total next generation toolset,513822.62,2022-12-13
Multi-lateral next generation secured line,289355.66,2022-07-10
Optional non-volatile frame,28763.7,2022-08-01
Fundamental logistical attitude,333095.63,2022-11-20
Enterprise-wide multimedia help-desk,457303.59,2022-03-16
Extended 4th generation workforce,202020.62,2021-12-09
Enterprise-wide hybrid neural-net,901757.33,2022-07-30
Intuitive transitional approach,265219.2,2022-11-07
Function-based dedicated standardization,356116.13,2022-12-03
Customizable 4th generation alliance,146002.35,2022-03-31
Organized asynchronous productivity,155145.1,2022-08-24
Progressive leading edge success,69963.13,2022-08-11
Right-sized context-sensitive extranet,875728.96,2022-10-22
Distributed well-modulated concept,134521.27,2021-12-09
Upgradable attitude-oriented implementation,977503.19,2022-05-16
Cross-group web-enabled groupware,865800.97,2022-11-02
Configurable zero defect pricing structure,324863.37,2022-04-11
Re-contextualized client-driven architecture,875289.73,2022-10-31
Future-proofed foreground architecture,943489.34,2022-08-02
Re-engineered grid-enabled adapter,824936.61,2022-01-08
Realigned local matrix,131464.44,2022-05-04
Extended holistic utilisation,282307.4,2022-03-02
Synergized radical Graphic Interface,882695.0,2021-12-24
Multi-layered didactic conglomeration,122243.22,2022-12-22
Cross-group user-facing structure,396615.3,2022-03-10
Business-focused needs-based capacity,704025.25,2022-06-30
Balanced methodical array,597143.78,2022-04-23
Multi-channelled clear-thinking challenge,432714.54,2022-09-05
Intuitive fresh-thinking hardware,952526.29,2022-10-26
Stand-alone context-sensitive emulation,494520.92,2022-08-18
Reduced discrete toolset,283650.86,2022-08-15
Grass-roots global focus group,314012.07,2022-05-31
Programmable zero defect moratorium,446721.71,2022-03-27
Customizable interactive customer loyalty,8711.96,2022-02-11
Configurable contextually-based implementation,684806.24,2022-06-02
Enhanced heuristic matrices,977658.65,2022-07-09
Operative methodical concept,429959.71,2022-06-26
Enterprise-wide client-driven analyzer,453662.74,2022-07-02
